_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
149607,26369025.0,val,-80.71875,-45.98846435546875,33.41600674975005,1800.0,Park,52.50664487811046,13.345645918028
149612,26369025.0,val,-80.004375,-45.66395568847656,31.422325128163738,1800.0,Park,52.50664487811046,13.345645918028
149630,26369025.0,val,-78.06875,-41.910926818847656,3.7002918188465808,1800.0,Park,52.50664487811046,13.345645918028
149635,26369025.0,val,-76.936875,-42.0047607421875,5.4538641093883635,1800.0,Park,52.50664487811046,13.345645918028
149639,26369025.0,val,-78.59625,-42.870025634765625,13.883270785813309,1800.0,Park,52.50664487811046,13.345645918028
149644,26369025.0,val,-79.014375,-44.19264221191406,22.52956110070229,1800.0,Park,52.50664487811046,13.345645918028
149655,26369025.0,val,-86.904375,-48.16742706298828,47.78519547879143,1800.0,Park,52.50664487811046,13.345645918028
149680,26369025.0,val,-93.420625,-53.449012756347656,97.96623134649377,1800.0,Park,52.50664487811046,13.345645918028
149704,26369025.0,val,-89.256875,-56.97284698486328,156.9001264490264,1800.0,Park,52.50664487811046,13.345645918028
164314,26369025.0,val,-96.631875,-55.40150451660156,126.95503890326908,1800.0,Park,52.50664487811046,13.345645918028
164330,26369025.0,val,-87.434375,-51.92724609375,80.18634346588999,1800.0,Park,52.50664487811046,13.345645918028
164344,26369025.0,val,-82.505,-48.30537414550781,48.77305482383611,1800.0,Park,52.50664487811046,13.345645918028
164350,26369025.0,val,-80.056875,-45.50233459472656,30.43722521646726,1800.0,Park,52.50664487811046,13.345645918028
164370,26369025.0,val,-79.070625,-43.33068084716797,17.09488373660666,1800.0,Park,52.50664487811046,13.345645918028
164376,26369025.0,val,-78.440625,-45.06379699707031,27.78616994936404,1800.0,Park,52.50664487811046,13.345645918028
164386,26369025.0,val,-90.045625,-49.75745391845703,59.948285015819195,1800.0,Park,52.50664487811046,13.345645918028
164391,26369025.0,val,-91.803125,-50.90117645263672,69.98437016548009,1800.0,Park,52.50664487811046,13.345645918028
164413,26369025.0,val,-92.930625,-54.95732116699219,119.63104945670966,1800.0,Park,52.50664487811046,13.345645918028
174730,26369025.0,val,-86.2025,-51.26268005371094,73.43706136556145,1800.0,Park,52.50664487811046,13.345645918028
174733,26369025.0,val,-82.516875,-50.11017608642578,62.91356868772664,1800.0,Park,52.50664487811046,13.345645918028
174743,26369025.0,val,-80.116875,-42.94500732421875,14.432104020067893,1800.0,Park,52.50664487811046,13.345645918028
174749,26369025.0,val,-79.414375,-42.238304138183594,8.425331288019537,1800.0,Park,52.50664487811046,13.345645918028
174767,26369025.0,val,-91.934375,-51.140663146972656,72.25391349159023,1800.0,Park,52.50664487811046,13.345645918028
174776,26369025.0,val,-94.4575,-54.313697814941406,109.82303349498909,1800.0,Park,52.50664487811046,13.345645918028
174782,26369025.0,val,-91.328125,-55.796897888183594,133.85654430327054,1800.0,Park,52.50664487811046,13.345645918028
174786,26369025.0,val,-89.92625,-56.73259735107422,151.87065424198218,1800.0,Park,52.50664487811046,13.345645918028
182062,26369025.0,val,-87.9875,-51.651649475097656,77.31967480615049,1800.0,Park,52.50664487811046,13.345645918028
182078,26369025.0,val,-81.079375,-47.20210266113281,41.16403249954068,1800.0,Park,52.50664487811046,13.345645918028
182115,26369025.0,val,-94.410625,-53.641578674316406,100.48524779243125,1800.0,Park,52.50664487811046,13.345645918028
182119,26369025.0,val,-92.48375,-54.920005798339844,119.03767140218903,1800.0,Park,52.50664487811046,13.345645918028
182121,26369025.0,val,-90.83,-55.519447326660156,128.96475719107676,1800.0,Park,52.50664487811046,13.345645918028
182124,26369025.0,val,-89.83,-56.63878631591797,149.95363831892544,1800.0,Park,52.50664487811046,13.345645918028
182131,26369025.0,val,-91.515,-58.02781677246094,181.1395182742503,1800.0,Park,52.50664487811046,13.345645918028
196680,26369025.0,val,-95.9362113402062,-55.192222595214844,123.45011730791195,1800.0,Park,52.50664487811046,13.345645918028
196682,26369025.0,val,-92.673125,-54.56291961669922,113.51891118729732,1800.0,Park,52.50664487811046,13.345645918028
196721,26369025.0,val,-92.090625,-51.426239013671875,75.0453334013522,1800.0,Park,52.50664487811046,13.345645918028
196723,26369025.0,val,-93.34,-52.4068603515625,85.41056935012475,1800.0,Park,52.50664487811046,13.345645918028
196731,26369025.0,val,-91.255,-55.598594665527344,130.3401030485153,1800.0,Park,52.50664487811046,13.345645918028
196738,26369025.0,val,-91.710625,-57.558753967285156,169.91385452111533,1800.0,Park,52.50664487811046,13.345645918028
196744,26369025.0,val,-91.615625,-58.17445373535156,184.80504246948496,1800.0,Park,52.50664487811046,13.345645918028
203226,26369025.0,val,-99.2125,-56.64600372314453,150.1226084436453,1800.0,Park,52.50664487811046,13.345645918028
203236,26369025.0,val,-88.658125,-53.331214904785156,96.46143557393789,1800.0,Park,52.50664487811046,13.345645918028
203242,26369025.0,val,-84.086875,-50.752296447753906,68.6073490083285,1800.0,Park,52.50664487811046,13.345645918028
203249,26369025.0,val,-80.674375,-47.3392333984375,42.07617697790439,1800.0,Park,52.50664487811046,13.345645918028
203259,26369025.0,val,-78.494375,-41.90630340576172,3.5929434668174127,1800.0,Park,52.50664487811046,13.345645918028
