event_idx,from_cell,to_cell,dur_s,pA_from,pA_to,pB_from,pB_to,correct_A,correct_B,hda_correct,flip_correct,margin_A_dB,margin_B_dB
157,33802241.0,30829824.0,38.0,-61.558265686035156,-57.88542938232422,-61.867103576660156,-57.32830810546875,False,True,False,True,-3.6728363037109375,4.538795471191406
158,30829824.0,30829312.0,26.0,-53.23738098144531,-53.98149108886719,-53.854766845703125,-53.48686218261719,True,True,True,False,0.744110107421875,0.3679046630859375
159,34006273.0,30828801.0,10.0,-61.416717529296875,-65.04194641113281,-61.51521301269531,-65.02500915527344,True,False,False,False,3.6252288818359375,-3.509796142578125
160,30829312.0,30829824.0,12.0,-56.32283020019531,-45.51801300048828,-56.415924072265625,-44.08174133300781,False,True,False,True,-10.804817199707031,12.334182739257812
161,30829824.0,30829312.0,33.0,-54.18151092529297,-54.777610778808594,-54.75706481933594,-54.57818603515625,True,True,True,False,0.596099853515625,0.1788787841796875
162,26369024.0,30829312.0,111.0,-61.66859436035156,-61.385955810546875,-61.991485595703125,-61.047279357910156,False,True,False,True,-0.2826385498046875,0.9442062377929688
163,30829312.0,34006273.0,22.0,-57.92115783691406,-56.659332275390625,-58.25810241699219,-56.258934020996094,False,True,False,True,-1.2618255615234375,1.9991683959960938
164,34006273.0,26367489.0,133.0,-54.23442077636719,-78.38980865478516,-76.72280883789062,-45.73998260498047,True,True,True,True,24.15538787841797,30.982826232910156
165,26367489.0,33802242.0,60.0,-63.03801727294922,-61.40068817138672,-63.210487365722656,-61.17045593261719,False,True,False,True,-1.6373291015625,2.0400314331054688
166,33802242.0,33802241.0,34.0,-63.86250305175781,-57.75260925292969,-64.05830383300781,-57.32929992675781,False,True,False,True,-6.109893798828125,6.72900390625
167,33802241.0,30829824.0,58.0,-61.294647216796875,-58.39385223388672,-61.53608703613281,-58.00743103027344,False,True,False,True,-2.9007949829101562,3.528656005859375
168,30829824.0,30829312.0,64.0,-53.760292053222656,-53.975372314453125,-54.113319396972656,-53.6541748046875,True,True,True,True,0.21508026123046875,0.45914459228515625
169,30829312.0,34006273.0,13.0,-56.59724426269531,-57.99079132080078,-57.31486511230469,-57.33030700683594,True,False,False,False,1.3935470581054688,-0.01544189453125
