_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,wcl_lat,wcl_lon
128925,2580501.0,train,-86.63125,-57.221458435058594,162.30583891916578,2000.0,52.51120038191861,13.301164524543731
128929,2580501.0,train,-86.34125,-56.73213195800781,151.87294769427,2000.0,52.51120038191861,13.301164524543731
128931,2580501.0,train,-85.074375,-56.21757507324219,141.6640853746436,2000.0,52.51120038191861,13.301164524543731
128934,2580501.0,train,-85.72625,-55.668190002441406,131.56743721530094,2000.0,52.51120038191861,13.301164524543731
128938,2580501.0,train,-84.800625,-55.07701110839844,121.55766941768559,2000.0,52.51120038191861,13.301164524543731
128944,2580501.0,train,-83.318125,-54.42542266845703,111.4617045254804,2000.0,52.51120038191861,13.301164524543731
128950,2580501.0,train,-80.775625,-52.93732452392578,91.58058172923946,2000.0,52.51120038191861,13.301164524543731
128954,2580501.0,train,-78.6375,-52.07953643798828,81.8036311522059,2000.0,52.51120038191861,13.301164524543731
128961,2580501.0,train,-77.42625,-51.168067932128906,72.51486452667295,2000.0,52.51120038191861,13.301164524543731
128965,2580501.0,train,-78.22875,-50.276458740234375,64.34426084066105,2000.0,52.51120038191861,13.301164524543731
128968,2580501.0,train,-77.589375,-49.46509552001953,57.56785310668922,2000.0,52.51120038191861,13.301164524543731
128972,2580501.0,train,-76.80125,-48.763221740722656,52.13210716066771,2000.0,52.51120038191861,13.301164524543731
128974,2580501.0,train,-75.788125,-48.04998779296875,46.95041572024711,2000.0,52.51120038191861,13.301164524543731
128979,2580501.0,train,-73.5975,-47.28953552246094,41.74180930361804,2000.0,52.51120038191861,13.301164524543731
128984,2580501.0,train,-71.915625,-46.370025634765625,35.79365433966745,2000.0,52.51120038191861,13.301164524543731
128987,2580501.0,train,-70.17625,-45.249183654785156,28.9020120052395,2000.0,52.51120038191861,13.301164524543731
128993,2580501.0,train,-69.46375,-44.06787872314453,21.765392167165913,2000.0,52.51120038191861,13.301164524543731
128994,2580501.0,train,-70.236875,-43.083152770996094,15.411929531663265,2000.0,52.51120038191861,13.301164524543731
129000,2580501.0,train,-70.7275,-42.467430114746094,10.646914379598979,2000.0,52.51120038191861,13.301164524543731
129006,2580501.0,train,-71.263125,-41.990760803222656,5.2291007014039526,2000.0,52.51120038191861,13.301164524543731
129010,2580501.0,train,-71.5825,-41.96540832519531,4.794876884206193,2000.0,52.51120038191861,13.301164524543731
129014,2580501.0,train,-71.628125,-41.982208251953125,5.086590390018752,2000.0,52.51120038191861,13.301164524543731
129019,2580501.0,train,-71.523125,-41.997825622558594,5.344279296087708,2000.0,52.51120038191861,13.301164524543731
129029,2580501.0,train,-71.686875,-42.008941650390625,5.520913253246136,2000.0,52.51120038191861,13.301164524543731
129032,2580501.0,train,-71.721875,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129035,2580501.0,train,-71.849375,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129042,2580501.0,train,-71.7875,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129052,2580501.0,train,-72.19125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129057,2580501.0,train,-72.029375,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129060,2580501.0,train,-72.025625,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129062,2580501.0,train,-71.8225,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129072,2580501.0,train,-71.711875,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129077,2580501.0,train,-71.81,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129082,2580501.0,train,-71.634375,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129090,2580501.0,train,-71.665625,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129096,2580501.0,train,-71.4575,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129098,2580501.0,train,-71.413125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129108,2580501.0,train,-71.6425,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129112,2580501.0,train,-71.60125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129117,2580501.0,train,-71.69125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129119,2580501.0,train,-71.564375,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129123,2580501.0,train,-71.57125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129136,2580501.0,train,-71.6675,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129138,2580501.0,train,-71.43,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129145,2580501.0,train,-71.450625,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129146,2580501.0,train,-71.438125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129157,2580501.0,train,-71.53375,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129161,2580501.0,train,-71.571875,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129173,2580501.0,train,-71.843125,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129174,2580501.0,train,-71.775,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129181,2580501.0,train,-71.56375,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129183,2580501.0,train,-71.5925,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129186,2580501.0,train,-71.025625,-42.014854431152344,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129190,2580501.0,train,-70.874375,-42.01472473144531,5.6105462152724925,2000.0,52.51120038191861,13.301164524543731
129200,2580501.0,train,-70.3075,-41.980323791503906,5.0523365693880224,2000.0,52.51120038191861,13.301164524543731
129202,2580501.0,train,-70.025625,-41.89752197265625,3.3821440657899853,2000.0,52.51120038191861,13.301164524543731
129207,2580501.0,train,-71.3525,-41.89054870605469,3.203788285650615,2000.0,52.51120038191861,13.301164524543731
129213,2580501.0,train,-73.106875,-42.12864685058594,7.167598790479897,2000.0,52.51120038191861,13.301164524543731
129217,2580501.0,train,-76.39875,-42.76017761230469,13.054159678325668,2000.0,52.51120038191861,13.301164524543731
129221,2580501.0,train,-79.534375,-43.81892395019531,20.22578727439016,2000.0,52.51120038191861,13.301164524543731
129222,2580501.0,train,-81.936875,-45.16429901123047,28.389006808566258,2000.0,52.51120038191861,13.301164524543731
129229,2580501.0,train,-80.138125,-46.605499267578125,37.28577227543138,2000.0,52.51120038191861,13.301164524543731
129230,2580501.0,train,-81.9775,-48.01853942871094,46.72763651104027,2000.0,52.51120038191861,13.301164524543731
129234,2580501.0,train,-82.705625,-49.357940673828125,56.71451459434537,2000.0,52.51120038191861,13.301164524543731
129243,2580501.0,train,-77.7525,-51.724082946777344,78.05421578455591,2000.0,52.51120038191861,13.301164524543731
129246,2580501.0,train,-69.57875,-52.68779754638672,88.62190190645009,2000.0,52.51120038191861,13.301164524543731
129251,2580501.0,train,-66.89125,-53.51615905761719,98.83365709789678,2000.0,52.51120038191861,13.301164524543731
129261,2580501.0,train,-72.771875,-54.88427734375,118.47220156481045,2000.0,52.51120038191861,13.301164524543731
129264,2580501.0,train,-81.289375,-55.49525451660156,128.57184264713217,2000.0,52.51120038191861,13.301164524543731
143527,2580501.0,train,-115.26102941176472,-65.42743682861328,491.8095183474975,2000.0,52.51120038191861,13.301164524543731
143536,2580501.0,train,-108.4475,-65.03958129882812,467.4032878849094,2000.0,52.51120038191861,13.301164524543731
143538,2580501.0,train,-108.35375,-64.8381118774414,455.17162183602846,2000.0,52.51120038191861,13.301164524543731
143543,2580501.0,train,-109.5675,-64.6331787109375,443.03385415459,2000.0,52.51120038191861,13.301164524543731
143547,2580501.0,train,-106.980625,-64.42528533935547,431.02666642981757,2000.0,52.51120038191861,13.301164524543731
143553,2580501.0,train,-106.919375,-64.21400451660156,419.13172967737734,2000.0,52.51120038191861,13.301164524543731
143554,2580501.0,train,-102.56625,-63.998809814453125,407.330673757044,2000.0,52.51120038191861,13.301164524543731
143560,2580501.0,train,-101.96,-63.78239440917969,395.77244276433606,2000.0,52.51120038191861,13.301164524543731
143564,2580501.0,train,-100.058125,-63.57097625732422,384.77540259571504,2000.0,52.51120038191861,13.301164524543731
143567,2580501.0,train,-99.0425,-63.36546325683594,374.3578956609612,2000.0,52.51120038191861,13.301164524543731
143575,2580501.0,train,-97.6775,-62.970619201660156,355.0758512064249,2000.0,52.51120038191861,13.301164524543731
143580,2580501.0,train,-96.851875,-62.78514862060547,346.34191578451447,2000.0,52.51120038191861,13.301164524543731
