_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,tower_lat,tower_lon,position_source,sionna_power_cal,residual_cal
48744,1,pc4,33802242.0,val,-95.82875,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.992086553594049
48750,1,pc4,33802242.0,val,-95.77625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.939586553594054
48753,1,pc4,33802242.0,val,-95.939375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.102711553594048
48758,1,pc4,33802242.0,val,-95.93875,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.102086553594049
48762,1,pc4,33802242.0,val,-96.228125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.391461553594056
48764,1,pc4,33802242.0,val,-96.40375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.567086553594052
48768,1,pc4,33802242.0,val,-96.424375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.587711553594048
48774,1,pc4,33802242.0,val,-96.273125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.436461553594043
48777,1,pc4,33802242.0,val,-96.42866161616162,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.59199816975567
48780,1,pc4,33802242.0,val,-96.39789603960396,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.561232593198014
