_row,operator,device,near_typeb,dist_to_typeb_m,sionna_cal_pt,measured_rsrp
156750,1,pc1,False,3026.8153426766157,-69.55891763069302,-88.37
156751,1,pc4,False,3004.326635269944,-70.16636239387661,-81.88625
156755,1,pc1,False,3019.420996976059,-68.67975198127895,-85.091875
156757,1,pc4,False,2997.3771628487575,-71.6380649695602,-80.646875
156758,1,pc1,False,3012.7418193391104,-68.66761361457974,-79.85125
156759,1,pc4,False,2990.718670856998,-73.05733071663052,-80.609375
156763,1,pc1,False,3005.8883786362835,-69.50361214973599,-79.104375
156764,1,pc4,False,2984.1822809399964,-74.36986886360317,-81.0725
156767,1,pc1,False,2999.198172753544,-70.79130135872036,-79.88375
156769,1,pc4,False,2977.5555870322573,-75.57053719856411,-82.9525
156770,1,pc1,False,2992.122917159206,-72.29339181282192,-74.840625
156773,1,pc4,False,2971.0061061543884,-76.63922463752895,-81.68
156775,1,pc1,False,2985.25264647408,-73.67477761604457,-74.054375
156777,1,pc4,False,2964.8524119446406,-77.57857858040005,-81.34
156778,1,pc4,False,2958.3797520842413,-78.47687875129849,-82.115625
156779,1,pc1,False,2978.4421737751754,-74.95785867073208,-74.535625
156782,1,pc4,False,2951.816868433017,-79.30356179573208,-82.273125
156783,1,pc1,False,2971.9674628321836,-76.10194741584927,-77.244375
156787,1,pc1,False,2965.6322903637083,-77.10678445198208,-73.516875
156788,1,pc4,False,2945.3176767247446,-80.07321511604457,-84.603125
156792,1,pc4,False,2938.8360555127524,-80.78419839241177,-84.58
156793,1,pc1,False,2959.5866986863475,-77.99766122200161,-75.439375
156795,1,pc1,False,2953.5423693024823,-78.83969460823208,-76.801875
156796,1,pc4,False,2932.2651296511854,-81.4478794226852,-84.766875
156799,1,pc4,False,2925.8771793995106,-82.05345498420864,-85.238125
156801,1,pc1,False,2946.934783706784,-79.62693368293911,-74.738125
156802,1,pc4,False,2919.4977832504514,-82.63829385139614,-85.483125
156803,1,pc1,False,2940.389973043505,-80.36175881721645,-74.530625
156806,1,pc1,False,2934.053060844429,-81.07449685432582,-77.400625
156808,1,pc4,False,2912.6510946928274,-83.20676003791958,-84.853125
156811,1,pc4,False,2905.2237294516444,-83.77682076790005,-84.57625
156812,1,pc1,False,2927.640312712435,-81.72188912727505,-75.846875
156816,1,pc1,False,2921.2557288250086,-82.30970345832974,-78.755625
156817,1,pc4,False,2896.947759093066,-84.35853158332974,-86.835
156818,1,pc1,False,2915.094297015012,-82.87266885139614,-78.1525
156819,1,pc4,False,2888.473106432113,-84.93465768196255,-87.024375
156823,1,pc1,False,2909.7605831118485,-83.37543832161099,-77.9425
156824,1,pc4,False,2879.5389454412066,-85.50284921028286,-86.930625
156827,1,pc4,False,2871.176016030575,-86.02733193733364,-89.453125
156828,1,pc1,False,2903.2533335476946,-83.90751992561489,-78.604375
156830,1,pc4,False,2862.8468179758797,-86.52245675422817,-93.84
156831,1,pc1,False,2895.893343070893,-84.46872292854457,-81.41625
156834,1,pc1,False,2888.449605741148,-85.01169930793911,-79.6375
156835,1,pc4,False,2855.091712712491,-86.98292886116177,-94.318125
156838,1,pc1,False,2880.550062601348,-85.53836404182582,-79.088125
156839,1,pc4,False,2846.8894276412593,-87.44237862922817,-93.415
156842,1,pc4,False,2838.6739949661414,-87.88450204231411,-91.709375
156845,1,pc1,False,2872.5720975554195,-86.04879342415005,-86.64625
156847,1,pc4,False,2830.6075312400767,-88.30408822395474,-90.42125
156849,1,pc1,False,2864.250089482723,-86.56458627082974,-91.91625
156850,1,pc1,False,2855.751595421065,-87.0552021155563,-91.58875
156853,1,pc4,False,2822.473762931998,-88.7059360633102,-88.129375
156854,1,pc4,False,2814.6485393107573,-89.08294259407192,-88.7475
156855,1,pc1,False,2847.456415918608,-87.52254067756802,-90.29625
156860,1,pc1,False,2839.2547322182463,-87.96097909309536,-87.4625
156861,1,pc4,False,2806.8540723228384,-89.43658028938442,-90.831875
156862,1,pc1,False,2831.087649726156,-88.36972390510708,-85.09125
156863,1,pc4,False,2799.135149077715,-89.76453744270474,-92.790625
156867,1,pc1,False,2822.6331211576535,-88.76422463752895,-83.534375
156869,1,pc4,False,2791.063060354285,-90.08097421028286,-93.430625
156870,1,pc1,False,2814.5921434713373,-89.13325082161099,-86.069375
156871,1,pc4,False,2782.6826045026746,-90.38260995247036,-95.473125
156874,1,pc4,False,2774.8152902637994,-90.66600381233364,-97.35125
156877,1,pc1,False,2806.904591498846,-89.47590218879849,-84.876875
156879,1,pc1,False,2799.1438187083813,-89.80680428840786,-87.41875
156881,1,pc4,False,2767.2587768251365,-90.94120370247036,-99.37625
156882,1,pc1,False,2790.9829578314825,-90.13012276985316,-88.856875
156883,1,pc4,False,2760.1075022554583,-91.20128213264614,-101.308125
156886,1,pc1,False,2782.4210700191525,-90.44622384407192,-92.698125
156889,1,pc4,False,2753.187140925896,-91.4456592688766,-103.181875
156891,1,pc1,False,2774.174601842891,-90.75208627082974,-94.341875
156895,1,pc1,False,2765.982228926921,-91.05416451790003,-96.345625
156900,1,pc1,False,2758.1847515281906,-91.33320962288052,-98.844375
156905,1,pc1,False,2750.120459919942,-91.59675179817349,-99.7717105263158
206342,1,pc1,False,3192.6871255544047,-89.58166085579067,-86.454375
206345,1,pc1,False,3178.3204071174587,-89.06455575325161,-84.661875
206347,1,pc1,False,3165.185099013658,-88.51176797248989,-83.16875
206348,1,pc1,False,3153.269285808289,-87.92241250373989,-81.396875
206351,1,pc1,False,3142.6110389326436,-87.2845493445602,-79.166875
206353,1,pc1,False,3133.1977704000865,-86.59611855842739,-79.896875
206355,1,pc1,False,3124.4960779806247,-85.85296212532192,-79.1975
206357,1,pc1,False,3116.2737719152315,-85.05222665168911,-78.0825
206359,1,pc1,False,3108.4681303005605,-84.20060311653286,-80.26875
206361,1,pc1,False,3101.0722688051815,-83.29114877082974,-79.81875
206363,1,pc1,False,3093.4873007459564,-82.29861794807582,-78.1725
206364,1,pc1,False,3085.3573470174592,-81.17721139290005,-76.49875
206367,1,pc1,False,3076.748034114079,-79.90621529915005,-79.293125
206368,1,pc1,False,3067.548749175602,-78.43837319709927,-84.6075
206370,1,pc1,False,3057.5810371540956,-76.69085275032192,-91.115
206372,1,pc1,False,3047.262098657042,-74.58589516975552,-95.84875
206375,1,pc1,False,3036.6302168514553,-72.04667245247036,-92.06
206377,1,pc1,False,3024.48340474084,-69.44724618293911,-86.99
206379,1,pc1,False,3011.872794421997,-68.73809396125942,-79.770625
206381,1,pc1,False,2999.051431120783,-70.8675571570602,-79.113125
