tower_lat,tower_lon,weighted_spread_m,n_localization_rows,operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,n_validation_rows
52.51441953120477,13.35151845274618,22.1,585,1,262.0,1.0,1495.0,30829312.0,396
52.51441974835555,13.35167925127201,38.4,216,1,262.0,1.0,1495.0,30829314.0,163
52.51433051019651,13.348517754617955,21.0,1148,1,262.0,1.0,1495.0,30829824.0,736
52.514349556019276,13.348232151285197,19.8,73,1,262.0,1.0,1495.0,30829826.0,45
52.515491171747165,13.366356385706935,17.5,342,1,262.0,1.0,1495.0,34006528.0,213
52.515451111969966,13.365615791868438,16.7,277,1,262.0,1.0,1495.0,34006529.0,191
52.515599064653166,13.367392781519001,43.3,22,1,262.0,1.0,1495.0,34006530.0,13
52.515483165722024,13.365557711071084,10.3,12,1,262.0,1.0,1495.0,34006531.0,10
52.51590567122494,13.373041626445996,10.3,142,1,262.0,1.0,1495.0,34006784.0,116
52.51586840398656,13.372557448959999,14.1,256,1,262.0,1.0,1495.0,34006785.0,212
52.51602245507234,13.3749049824911,6.1,239,1,262.0,1.0,1495.0,34007040.0,127
52.5160062818189,13.374470756228758,8.5,223,1,262.0,1.0,1495.0,34007041.0,125
52.51607616077448,13.375006526414422,5.4,25,1,262.0,1.0,1495.0,34007042.0,21
52.51765629484816,13.363201287377262,22.1,89,1,262.0,1.0,1495.0,42065154.0,63
